,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
1/1/2014,,11455,11323.8,,6188.7,6140.8,,5266.2,5182.9,,7938,7928.7,,5122.2,5111.3,,2815.8,2817.4,,3516.9,3395.1,,1066.5,1029.5,,2450.4,2365.6,,60.7,60.1,,66.7,66.2,,55,54.1,,722.7,772100,,386.9,416.1,,335.7,356,,542.2,591.3,,316.3,343.1,,225.8,248.2,,180.5,180.7,,70.6,73,,109.9,107.8,,5.9,6.4,,5.9,6.3,,6,6.4,,6.4,6.9,,5.8,6.3,,7.4,8.1,,4.9,5.1,,6.2,6.6,,4.3,4.4,,12177.6,12095.9,,6575.6,6556.9,,5602,5538.9,,64.6,64.1,,70.9,70.7,,58.5,57.8,6761,2723.8,4037.2,18856.9,9280.8,9576.1
2/1/2014,,11481.9,11464.6,,6196.8,6222.1,,5285.2,5242.5,,7958.2,8060.3,,5118.5,5178.9,,2839.7,2881.4,,3523.7,3404.3,,1078.2,1043.2,,2445.5,2361.1,,60.8,60.7,,66.7,66.9,,55.1,54.7,,719.1,837200,,381.6,427.6,,337.5,409.5,,525.4,580.4,,306.5,334.4,,218.9,246,,193.7,256.7,,75.1,93.2,,118.6,163.5,,5.9,6.8,,5.8,6.4,,6,7.2,,6.2,6.7,,5.6,6.1,,7.2,7.9,,5.2,7,,6.5,8.2,,4.6,6.5,,12201.1,12301.7,,6578.4,6649.7,,5622.7,5652,,64.6,65.1,,70.8,71.5,,58.6,58.9,6587,2647.1,3939.9,18888.7,9296.8,9591.9
3/1/2014,,11531.9,11535.7,,6232.2,6236,,5299.8,5299.7,,7988.4,7962.9,,5132.3,5126.5,,2856.1,2836.3,,3543.5,3572.8,,1099.8,1109.5,,2443.6,2463.3,,60.9,61,,66.9,67,,55.2,55.2,,718.7,766800,,373.1,389.6,,345.6,377.2,,508.2,529.4,,295.6,303.1,,212.6,226.3,,210.5,237.5,,77.5,86.6,,133,150.9,,5.9,6.2,,5.6,5.9,,6.1,6.6,,6,6.2,,5.4,5.6,,6.9,7.4,,5.6,6.2,,6.6,7.2,,5.2,5.8,,12250.6,12302.5,,6605.3,6625.7,,5645.4,5676.9,,64.7,65,,70.9,71.1,,58.8,59.1,6618.1,2687.2,3930.9,18920.6,9312.9,9607.7
4/1/2014,,11538.7,11555.1,,6237.3,6249,,5301.5,5306,,8008.4,7977.9,,5165.5,5153.5,,2842.9,2824.4,,3530.4,3577.1,,1071.8,1095.5,,2458.6,2481.6,,60.9,61,,66.9,67,,55.1,55.2,,710.2,714200,,384.1,378.8,,326.2,335.4,,515.7,515.3,,306.7,303,,209,212.3,,194.6,198.9,,77.4,75.8,,117.2,123.1,,5.8,5.8,,5.8,5.7,,5.8,5.9,,6,6.1,,5.6,5.6,,6.8,7,,5.2,5.3,,6.7,6.5,,4.5,4.7,,12249,12269.3,,6621.3,6627.9,,5627.7,5641.4,,64.7,64.8,,71,71.1,,58.5,58.7,6669.8,2693.5,3976.3,18939.1,9321.3,9617.7
5/1/2014,,11514,11553.3,,6209.9,6232.9,,5304.1,5320.4,,8024,8022.8,,5159,5155.4,,2865.1,2867.4,,3490,3530.6,,1051,1077.5,,2439,2453,,60.7,60.9,,66.6,66.8,,55.1,55.3,,726.1,717900,,383.7,373.9,,342.5,344.1,,537.8,531.3,,314.6,307.7,,223.2,223.6,,188.3,186.6,,69,66.2,,119.3,120.4,,5.9,5.9,,5.8,5.7,,6.1,6.1,,6.3,6.2,,5.7,5.6,,7.2,7.2,,5.1,5,,6.2,5.8,,4.7,4.7,,12240.1,12271.3,,6593.6,6606.8,,5646.6,5664.5,,64.6,64.7,,70.7,70.8,,58.6,58.8,6686.2,2723.1,3963.2,18957.5,9329.8,9627.7
6/1/2014,,11529.8,11553.2,,6215.7,6227.4,,5314.1,5325.9,,8001.5,7976.6,,5138.6,5121.4,,2863,2855.3,,3528.3,3576.6,,1077.1,1106,,2451.1,2470.6,,60.8,60.9,,66.6,66.7,,55.1,55.3,,742.2,721800,,401.7,389.7,,340.5,332.2,,541,533.2,,319.7,316.2,,221.2,216.9,,201.2,188.7,,81.9,73.4,,119.3,115.2,,6,5.9,,6.1,5.9,,6,5.9,,6.3,6.3,,5.9,5.8,,7.2,7.1,,5.4,5,,7.1,6.2,,4.6,4.5,,12272,12275,,6617.3,6617,,5654.6,5658,,64.7,64.7,,70.9,70.9,,58.7,58.7,6701,2721.3,3979.7,18976,9338.3,9637.7
7/1/2014,,11545.4,11542.2,,6226.9,6224.4,,5318.5,5317.8,,8029.7,8043.6,,5169.2,5172.6,,2860.6,2871,,3515.6,3498.5,,1057.7,1051.7,,2457.9,2446.8,,60.8,60.8,,66.6,66.6,,55.1,55.1,,759.5,741700,,410.2,405.5,,349.3,336.2,,546.7,540.6,,322.7,322.2,,224.1,218.4,,212.8,201.1,,87.6,83.3,,125.2,117.8,,6.2,6,,6.2,6.1,,6.2,5.9,,6.4,6.3,,5.9,5.9,,7.3,7.1,,5.7,5.4,,7.6,7.3,,4.8,4.6,,12304.9,12283.9,,6637.1,6629.9,,5667.8,5654,,64.8,64.7,,71,70.9,,58.7,58.6,6715.6,2719.1,3996.5,18999.4,9349,9650.4
8/1/2014,,11545.1,11572.8,,6230.4,6225.3,,5314.7,5347.4,,8014.3,7964.2,,5157.4,5120.6,,2856.9,2843.6,,3530.8,3608.5,,1073,1104.7,,2457.7,2503.8,,60.7,60.8,,66.6,66.5,,55,55.3,,747.8,733800,,401.5,396.8,,346.3,337,,539.8,517.2,,320.6,312.7,,219.1,204.5,,208,216.6,,80.8,84.1,,127.2,132.5,,6.1,6,,6.1,6,,6.1,5.9,,6.3,6.1,,5.9,5.8,,7.1,6.7,,5.6,5.7,,7,7.1,,4.9,5,,12292.8,12306.6,,6631.9,6622.2,,5661,5684.4,,64.6,64.7,,70.9,70.8,,58.6,58.8,6716.3,2737.4,3978.8,19022.8,9359.6,9663.2
9/1/2014,,11546.4,11533.8,,6224.7,6215,,5321.7,5318.8,,8009.1,7978.4,,5151.3,5131,,2857.8,2847.4,,3537.3,3555.4,,1073.4,1084,,2463.9,2471.4,,60.6,60.6,,66.4,66.3,,55,55,,766.7,746400,,402,400.1,,364.6,346.3,,543.8,525.1,,318.3,311.5,,225.4,213.6,,222.9,221.4,,83.7,88.6,,139.2,132.7,,6.2,6.1,,6.1,6,,6.4,6.1,,6.4,6.2,,5.8,5.7,,7.3,7,,5.9,5.9,,7.2,7.6,,5.3,5.1,,12313.1,12280.2,,6626.7,6615.1,,5686.3,5665.1,,64.6,64.5,,70.7,70.6,,58.8,58.5,6766.1,2755.2,4010.9,19046.3,9370.3,9676
10/1/2014,,11542.2,11550.1,,6229.3,6229.7,,5312.9,5320.5,,8011,7981.7,,5145.1,5134.2,,2865.9,2847.5,,3531.2,3568.5,,1084.3,1095.5,,2447,2473,,60.5,60.6,,66.4,66.4,,54.8,54.9,,785.1,752000,,415.4,403.2,,369.7,348.8,,541,518.9,,321.1,313.3,,219.9,205.6,,244.1,233.1,,94.3,89.8,,149.8,143.2,,6.4,6.1,,6.3,6.1,,6.5,6.2,,6.3,6.1,,5.9,5.8,,7.1,6.7,,6.5,6.1,,8,7.6,,5.8,5.5,,12327.3,12302.1,,6644.7,6632.8,,5682.6,5669.3,,64.7,64.5,,70.8,70.7,,58.7,58.5,6765.2,2746.9,4018.3,19067.3,9379.8,9687.6
11/1/2014,,11543.8,11581.7,,6251.5,6259.8,,5292.3,5322,,7982.7,8012.8,,5171.7,5187.1,,2811,2825.7,,3561.1,3569,,1079.8,1072.7,,2481.3,2496.3,,60.5,60.7,,66.6,66.7,,54.6,54.9,,775.6,723800,,422,398.2,,353.6,325.5,,547.6,518.4,,333.9,318.5,,213.7,199.9,,228,205.3,,88.1,79.7,,139.9,125.6,,6.3,5.9,,6.3,6,,6.3,5.8,,6.4,6.1,,6.1,5.8,,7.1,6.6,,6,5.4,,7.5,6.9,,5.3,4.8,,12319.4,12305.5,,6673.5,6658,,5645.9,5647.5,,64.5,64.5,,71.1,70.9,,58.2,58.2,6782.9,2731.3,4051.6,19088.4,9389.3,9699.2
12/1/2014,,11597.3,11715.7,,6260.7,6320.7,,5336.6,5395,,8026.8,8154.1,,5184.7,5258.1,,2842.1,2895.9,,3570.5,3561.6,,1076,1062.6,,2494.5,2499.1,,60.7,61.3,,66.6,67.3,,55,55.6,,754.3,732000,,399.9,390.4,,354.5,341.5,,544,528.9,,325.6,312.3,,218.4,216.6,,210.3,203,,74.2,78.1,,136.1,124.9,,6.1,5.9,,6,5.8,,6.2,6,,6.3,6.1,,5.9,5.6,,7.1,7,,5.6,5.4,,6.5,6.8,,5.2,4.8,,12351.7,12447.6,,6660.6,6711.1,,5691.1,5736.5,,64.6,65.1,,70.9,71.4,,58.6,59.1,6661.8,2687.6,3974.2,19109.5,9398.8,9710.7
1/1/2015,,11607.9,11467.4,,6263.8,6208.5,,5344.1,5258.8,,8028.3,8006.5,,5173.5,5156.3,,2854.8,2850.3,,3579.6,3460.8,,1090.3,1052.3,,2489.3,2408.5,,60.7,59.9,,66.5,66,,54.9,54.1,,785.3,837600,,428.7,460,,356.6,377.6,,542.9,593.7,,329.2,357.3,,213.7,236.4,,242.4,244,,99.5,102.7,,142.9,141.3,,6.3,6.8,,6.4,6.9,,6.3,6.7,,6.3,6.9,,6,6.5,,7,7.7,,6.3,6.6,,8.4,8.9,,5.4,5.5,,12393.2,12305,,6692.5,6668.6,,5700.7,5636.5,,64.8,64.3,,71.1,70.8,,58.6,58,6834,2744.1,4089.9,19139,9412.7,9726.3
2/1/2015,,11673.2,11724.1,,6298.1,6334.1,,5375.1,5390,,8068,8152.8,,5192.7,5249.8,,2875.4,2903,,3605.2,3571.4,,1105.5,1084.3,,2499.8,2487.1,,60.9,61.2,,66.8,67.2,,55.2,55.3,,761.2,837500,,411.5,444.6,,349.7,392.9,,534.5,581.9,,323.5,346.5,,211,235.4,,226.7,255.6,,88,98.1,,138.7,157.4,,6.1,6.7,,6.1,6.6,,6.1,6.8,,6.2,6.7,,5.9,6.2,,6.8,7.5,,5.9,6.7,,7.4,8.3,,5.3,6,,12434.4,12561.6,,6709.6,6778.7,,5724.8,5782.9,,64.9,65.5,,71.2,71.9,,58.8,59.4,6607,2647.9,3959.1,19168.6,9426.6,9742
3/1/2015,,11693.7,11698.2,,6321,6324.8,,5372.6,5373.4,,8101,8077,,5226.1,5221.1,,2874.9,2855.9,,3592.7,3621.2,,1094.9,1103.7,,2497.8,2517.5,,60.9,60.9,,67,67,,55.1,55.1,,758.5,808800,,408.9,427,,349.5,381.8,,534.1,556.9,,323.2,331.6,,211,225.3,,224.3,251.9,,85.8,95.4,,138.6,156.5,,6.1,6.5,,6.1,6.3,,6.1,6.6,,6.2,6.5,,5.8,6,,6.8,7.3,,5.9,6.5,,7.3,8,,5.3,5.9,,12452.1,12507,,6730,6751.8,,5722.2,5755.2,,64.9,65.1,,71.3,71.5,,58.6,59,6691.1,2688.8,4002.4,19198.1,9440.6,9757.6
4/1/2015,,11693.3,11711.5,,6306.1,6320,,5387.2,5391.5,,8087.2,8057.7,,5188.6,5175.9,,2898.6,2881.8,,3606.1,3653.9,,1117.5,1144.1,,2488.6,2509.7,,60.8,60.9,,66.7,66.9,,55.2,55.2,,760.4,764700,,412.5,406.3,,347.9,358.4,,531.9,531.6,,318,313.6,,213.9,218,,228.5,233.1,,94.5,92.7,,134.1,140.4,,6.1,6.1,,6.1,6,,6.1,6.2,,6.2,6.2,,5.8,5.7,,6.9,7,,6,6,,7.8,7.5,,5.1,5.3,,12453.7,12476.2,,6718.6,6726.3,,5735.1,5749.8,,64.8,64.9,,71.1,71.2,,58.7,58.9,6741.3,2723,4018.3,19217.4,9449.3,9768.1
5/1/2015,,11734.9,11781.4,,6315.6,6343.3,,5419.3,5438.1,,8110.6,8109.1,,5200.7,5198.5,,2909.9,2910.6,,3624.3,3672.3,,1114.9,1144.8,,2509.4,2527.6,,61,61.2,,66.8,67.1,,55.4,55.6,,740.5,730200,,400.6,388.3,,339.9,341.8,,511.6,503.6,,308.6,300.4,,203.1,203.1,,228.9,226.6,,92.1,87.9,,136.8,138.7,,5.9,5.8,,6,5.8,,5.9,5.9,,5.9,5.8,,5.6,5.5,,6.5,6.5,,5.9,5.8,,7.6,7.1,,5.2,5.2,,12475.4,12511.6,,6716.2,6731.6,,5759.2,5780,,64.9,65,,71,71.2,,58.9,59.1,6725.1,2726.4,3998.7,19236.8,9458.1,9778.7
6/1/2015,,11728.1,11752.9,,6302.6,6316.7,,5425.6,5436.2,,8109,8085.3,,5189.7,5174.3,,2919.3,2911,,3619.2,3667.6,,1112.9,1142.4,,2506.3,2525.2,,60.9,61,,66.6,66.7,,55.4,55.5,,749.6,729700,,403.8,391.8,,345.8,337.9,,540.5,533,,316.8,313.1,,223.6,219.9,,209.1,196.7,,86.9,78.7,,122.2,118,,6,5.8,,6,5.8,,6,5.9,,6.2,6.2,,5.8,5.7,,7.1,7,,5.5,5.1,,7.2,6.4,,4.6,4.5,,12477.7,12482.6,,6706.3,6708.5,,5771.4,5774.1,,64.8,64.8,,70.8,70.9,,59,59,6773.5,2758.3,4015.1,19256.1,9466.8,9789.3
7/1/2015,,11760.6,11759.9,,6324.5,6323.7,,5436.1,5436.2,,8131.1,8147.5,,5205,5209.5,,2926.1,2938,,3629.5,3612.4,,1119.5,1114.2,,2510,2498.2,,61,61,,66.7,66.7,,55.5,55.5,,787,771000,,406.7,404,,380.3,367,,560.9,557.5,,320.4,321.8,,240.6,235.7,,226,213.4,,86.3,82.2,,139.7,131.2,,6.3,6.2,,6,6,,6.5,6.3,,6.5,6.4,,5.8,5.8,,7.6,7.4,,5.9,5.6,,7.2,6.9,,5.3,5,,12547.6,12530.9,,6731.1,6727.7,,5816.4,5803.2,,65.1,65,,71,71,,59.3,59.2,6748.7,2749.7,3999,19279.6,9477.4,9802.2
8/1/2015,,11772.1,11702.6,,6315.3,6276.5,,5456.8,5426.2,,8116.5,8051.8,,5200.7,5165,,2915.8,2886.7,,3655.5,3650.9,,1114.6,1111.4,,2540.9,2539.4,,61,60.6,,66.6,66.2,,55.6,55.3,,762.1,760300,,414.6,415.6,,347.5,344.7,,542.7,540.9,,332,334.2,,210.7,206.7,,219.3,219.4,,82.6,81.4,,136.8,138.1,,6.1,6.1,,6.2,6.2,,6,6,,6.3,6.3,,6,6.1,,6.7,6.7,,5.7,5.7,,6.9,6.8,,5.1,5.2,,12534.2,12463,,6729.9,6692.1,,5804.3,5770.9,,64.9,64.6,,70.9,70.5,,59.1,58.8,6840.1,2795.9,4044.2,19303.1,9488,9815.1
9/1/2015,,11783.1,11771,,6320.6,6310.4,,5462.5,5460.6,,8140.4,8107.6,,5198.6,5177.9,,2941.8,2929.6,,3642.7,3663.5,,1122,1132.5,,2520.7,2531,,61,60.9,,66.5,66.4,,55.6,55.6,,773.9,753600,,417,414.6,,356.9,339,,556.1,536.3,,329.1,322,,227,214.3,,217.8,217.2,,88,92.6,,129.8,124.6,,6.2,6,,6.2,6.2,,6.1,5.8,,6.4,6.2,,6,5.9,,7.2,6.8,,5.6,5.6,,7.3,7.6,,4.9,4.7,,12557,12524.6,,6737.6,6725,,5819.4,5799.6,,65,64.8,,70.9,70.8,,59.2,59,6801.9,2773.5,4028.5,19326.5,9498.5,9828
10/1/2015,,11860.6,11865.8,,6359.5,6358,,5501,5507.8,,8171.6,8142.3,,5232.4,5221.1,,2939.2,2921.2,,3688.9,3723.4,,1127.1,1136.8,,2561.9,2586.6,,61.3,61.3,,66.9,66.9,,55.9,56,,746.8,713700,,401.1,388.2,,345.7,325.5,,530,506.1,,312.3,303.3,,217.8,202.8,,216.8,207.6,,88.9,84.9,,127.9,122.8,,5.9,5.7,,5.9,5.8,,5.9,5.6,,6.1,5.9,,5.6,5.5,,6.9,6.5,,5.6,5.3,,7.3,6.9,,4.8,4.5,,12607.4,12579.5,,6760.7,6746.2,,5846.7,5833.4,,65.2,65,,71.1,71,,59.4,59.3,6768.7,2761.7,4006.9,19348.2,9507.9,9840.3
11/1/2015,,11895.5,11935.3,,6364.3,6373.7,,5531.2,5561.6,,8190.4,8221.1,,5222.4,5239,,2968.1,2982.1,,3705.1,3714.2,,1141.9,1134.7,,2563.1,2579.5,,61.4,61.6,,66.9,67,,56.1,56.4,,739.2,689100,,386.9,365.5,,352.3,323.6,,514.5,486.9,,298,285.1,,216.5,201.8,,224.7,202.2,,88.9,80.4,,135.8,121.8,,5.9,5.5,,5.7,5.4,,6,5.5,,5.9,5.6,,5.4,5.2,,6.8,6.3,,5.7,5.2,,7.2,6.6,,5,4.5,,12634.7,12624.3,,6751.2,6739.1,,5883.5,5885.2,,65.2,65.2,,70.9,70.8,,59.7,59.7,6745.5,2778.1,3967.4,19369.9,9517.3,9852.6
12/1/2015,,11905.9,12025,,6379,6435.3,,5526.9,5589.8,,8217.5,8349,,5242.7,5315.8,,2974.8,3033.2,,3688.4,3676,,1136.3,1119.4,,2552.1,2556.6,,61.4,62,,67,67.5,,56,56.7,,725.8,703000,,380.4,373.5,,345.4,329.4,,511.3,496.8,,297.7,286.6,,213.6,210.2,,214.5,206.2,,82.7,86.9,,131.8,119.3,,5.7,5.5,,5.6,5.5,,5.9,5.6,,5.9,5.6,,5.4,5.1,,6.7,6.5,,5.5,5.3,,6.8,7.2,,4.9,4.5,,12631.7,12728,,6759.4,6808.8,,5872.3,5919.2,,65.1,65.6,,71,71.5,,59.5,60,6663.5,2717.9,3945.7,19391.5,9526.7,9864.9
1/1/2016,,11910.2,11759.6,,6392.2,6328.5,,5517.9,5431.2,,8186.2,8155.1,,5231.3,5208.9,,2954.9,2946.3,,3724,3604.5,,1161,1119.6,,2563,2484.9,,61.3,60.5,,67,66.3,,55.8,55,,763,816100,,412.7,443.7,,350.3,372.4,,543.8,594.1,,320.3,348.3,,223.4,245.8,,219.3,222,,92.4,95.4,,126.9,126.6,,6,6.5,,6.1,6.6,,6,6.4,,6.2,6.8,,5.8,6.3,,7,7.7,,5.6,5.8,,7.4,7.9,,4.7,4.8,,12673.2,12575.7,,6804.9,6772.2,,5868.2,5803.5,,65.2,64.7,,71.3,71,,59.4,58.7,6848.5,2770.1,4078.3,19424.2,9542.3,9881.9
2/1/2016,,11927.2,11975.9,,6384,6418.3,,5543.2,5557.6,,8212.3,8296,,5227.5,5283,,2984.8,3013,,3714.9,3679.9,,1156.5,1135.4,,2558.4,2544.6,,61.3,61.6,,66.8,67.2,,56,56.1,,717.5,787800,,377.1,406.3,,340.4,381.5,,511.9,556.4,,295.3,315.8,,216.5,240.7,,205.6,231.4,,81.7,90.5,,123.9,140.9,,5.7,6.2,,5.6,6,,5.8,6.4,,5.9,6.3,,5.3,5.6,,6.8,7.4,,5.2,5.9,,6.6,7.4,,4.6,5.2,,12644.7,12763.7,,6761,6824.6,,5883.7,5939.1,,65,65.6,,70.7,71.4,,59.4,60,6693.1,2733.4,3959.8,19456.8,9558,9898.9
3/1/2016,,11942.5,11945.5,,6394.7,6399.3,,5547.9,5546.2,,8189.3,8165.6,,5214.2,5210,,2975.1,2955.6,,3753.2,3779.9,,1180.4,1189.3,,2572.8,2590.6,,61.3,61.3,,66.8,66.8,,55.9,55.9,,714.1,762300,,382.3,400.1,,331.8,362.2,,502.9,525.9,,294.9,303,,208,222.8,,211.2,236.4,,87.4,97,,123.8,139.4,,5.6,6,,5.6,5.9,,5.6,6.1,,5.8,6.1,,5.4,5.5,,6.5,7,,5.3,5.9,,6.9,7.5,,4.6,5.1,,12656.7,12707.8,,6776.9,6799.4,,5879.7,5908.4,,64.9,65.2,,70.8,71,,59.3,59.6,6781.7,2774.2,4007.5,19489.5,9573.6,9915.9
4/1/2016,,11948.5,11968.5,,6384.9,6401,,5563.7,5567.6,,8177.1,8147.6,,5184.1,5170,,2993,2977.6,,3771.4,3820.9,,1200.8,1230.9,,2570.7,2589.9,,61.2,61.3,,66.6,66.8,,56,56.1,,714,719400,,377.3,371.7,,336.8,347.6,,505.4,505.9,,299.7,295.3,,205.7,210.6,,208.7,213.4,,77.6,76.4,,131.1,137.1,,5.6,5.7,,5.6,5.5,,5.7,5.9,,5.8,5.8,,5.5,5.4,,6.4,6.6,,5.2,5.3,,6.1,5.8,,4.9,5,,12662.6,12687.9,,6762.1,6772.7,,5900.4,5915.2,,64.9,65,,70.6,70.7,,59.4,59.6,6823.7,2811,4012.7,19511.6,9583.7,9927.9
5/1/2016,,11944.2,11999.9,,6388.6,6420.8,,5555.6,5579.1,,8173.9,8170.8,,5196.1,5194.6,,2977.8,2976.2,,3770.3,3829.2,,1192.5,1226.2,,2577.8,2603,,61.1,61.4,,66.6,66.9,,55.9,56.1,,725.5,715100,,385.7,373.2,,339.8,341.9,,507,498.8,,300.8,292.4,,206.2,206.4,,218.5,216.3,,84.9,80.8,,133.6,135.5,,5.7,5.6,,5.7,5.5,,5.8,5.8,,5.8,5.8,,5.5,5.3,,6.5,6.5,,5.5,5.3,,6.6,6.2,,4.9,4.9,,12669.7,12715.1,,6774.3,6794,,5895.4,5921.1,,64.9,65.1,,70.6,70.8,,59.3,59.6,6818.6,2799.8,4018.8,19533.7,9593.8,9939.9
6/1/2016,,11963.5,11991.3,,6389.1,6406.1,,5574.4,5585.2,,8210.7,8189.8,,5221.4,5208.4,,2989.3,2981.4,,3752.8,3801.5,,1167.7,1197.6,,2585,2603.9,,61.2,61.3,,66.5,66.7,,56,56.1,,722.4,703500,,367.5,356.7,,354.8,346.9,,491.9,485.6,,285.2,281.8,,206.7,203.8,,230.4,218,,82.3,74.9,,148.1,143.1,,5.7,5.5,,5.4,5.3,,6,5.8,,5.7,5.6,,5.2,5.1,,6.5,6.4,,5.8,5.4,,6.6,5.9,,5.4,5.2,,12685.8,12694.8,,6756.6,6762.7,,5929.2,5932.1,,64.9,64.9,,70.4,70.4,,59.6,59.6,6861,2841.2,4019.9,19555.8,9603.9,9951.9
7/1/2016,,11996.4,11995.3,,6411.5,6412.3,,5584.8,5582.9,,8175.2,8192.9,,5198.5,5203.8,,2976.7,2989.1,,3821.2,3802.4,,1213.1,1208.6,,2608.2,2593.8,,61.3,61.2,,66.7,66.7,,56,56,,724,708800,,375.6,373.5,,348.3,335.3,,476.7,475.2,,285.1,287,,191.7,188.3,,247.2,233.5,,90.6,86.5,,156.6,147,,5.7,5.6,,5.5,5.5,,5.9,5.7,,5.5,5.5,,5.2,5.2,,6,5.9,,6.1,5.8,,6.9,6.7,,5.7,5.4,,12720.3,12704.1,,6787.2,6785.8,,5933.2,5918.2,,64.9,64.9,,70.6,70.6,,59.5,59.4,6881.5,2832,4049.5,19585.6,9617.8,9967.8
8/1/2016,,11971.8,11904.7,,6402.9,6365.5,,5568.9,5539.2,,8169.8,8104.8,,5200.4,5164.6,,2969.4,2940.2,,3802,3799.9,,1202.5,1200.9,,2599.5,2599,,61,60.7,,66.5,66.1,,55.8,55.5,,710.3,708100,,379.7,380.3,,330.6,327.8,,496.2,493.4,,291.1,292.3,,205.1,201.1,,214.1,214.7,,88.6,88,,125.6,126.7,,5.6,5.6,,5.6,5.6,,5.6,5.6,,5.7,5.7,,5.3,5.4,,6.5,6.4,,5.3,5.3,,6.9,6.8,,4.6,4.6,,12682.1,12612.8,,6782.6,6745.8,,5899.5,5867,,64.7,64.3,,70.4,70,,59.1,58.8,7002.6,2886,4116.6,19615.4,9631.7,9983.6
